id,title,imdb_id,original_language,release_date,revenue,vote_average,title,gross,budget,genres,actor_1_name,language,country,title_year,content_rating,imdb_score,movie_facebook_likes
9598,Babe,tt0112431,en,7/18/1995,254134910,6,Babe,66600000,30000000,Comedy|Drama|Family,"Miriam Margolyes",English,Australia,1995,G,6.8,5000
9312,"Mortal Kombat",tt0113855,en,8/18/1995,122195920,5.4,"Mortal Kombat",70360285,18000000,Action|Adventure|Fantasy|Sci-Fi|Thriller,"Christopher Lambert",English,USA,1995,PG-13,5.8,0
577,"To Die For",tt0114681,en,5/20/1995,21284514,6.7,"To Die For",21200000,20000000,Comedy|Crime|Drama,"Kurtwood Smith",English,USA,1995,R,6.8,1000
807,Se7en,tt0114369,en,9/22/1995,327311859,8.1,Se7en,100125340,33000000,Crime|Drama|Mystery|Thriller,"Morgan Freeman",English,USA,1995,R,8.6,39000
10530,Pocahontas,tt0114148,en,6/14/1995,346079773,6.7,Pocahontas,141600000,55000000,Adventure|Animation|Drama|Family|History|Musical|Romance,"Christian Bale",English,USA,1995,G,6.6,0
11359,"The Indian in the Cupboard",tt0113419,en,7/14/1995,0,5.9,"The Indian in the Cupboard",35617599,45000000,Drama|Family|Fantasy,"Steve Coogan",English,USA,1995,PG,5.9,0
9623,"The Juror",tt0116731,en,2/2/1996,0,5.5,"The Juror",44834712,44000000,Drama|Thriller,"Joseph Gordon-Levitt",English,USA,1996,R,5.6,353
10534,"White Squall",tt0118158,en,2/2/1996,10300000,6.3,"White Squall",10300000,38000000,Adventure|Drama,"Jeff Bridges",English,USA,1996,PG-13,6.6,911
9095,"Mary Reilly",tt0117002,en,2/23/1996,12379402,5.7,"Mary Reilly",5600000,47000000,Drama|Horror|Romance|Thriller,"Julia Roberts",English,USA,1996,R,5.8,616
9208,"Broken Arrow",tt0115759,en,2/9/1996,150270147,5.7,"Broken Arrow",70450000,50000000,Action|Crime|Thriller,"Delroy Lindo",English,USA,1996,R,6,0
11062,"City Hall",tt0115907,en,2/16/1996,0,6,"City Hall",20300000,40000000,Drama|Thriller,"Al Pacino",English,USA,1996,R,6.2,309
688,"The Bridges of Madison County",tt0112579,en,5/28/1995,182016617,7.3,"The Bridges of Madison County",70960517,35000000,Drama|Romance,"Clint Eastwood",English,USA,1995,PG-13,7.5,0
197,Braveheart,tt0112573,en,5/24/1995,210000000,7.7,Braveheart,75600000,72000000,Biography|Drama|History|War,"Mhairi Calvey",English,USA,1995,R,8.4,17000
11066,Boomerang,tt0103859,en,6/30/1992,70100000,5.4,Boomerang,70100000,40000000,Comedy|Drama|Romance,"John Witherspoon",English,USA,1992,R,5.4,0
5757,"Man of the Year",tt0113756,en,9/15/1995,209935,3.8,"Man of the Year",37442180,20000000,Comedy|Drama|Romance|Thriller,"Robin Williams",English,USA,2006,PG-13,6.2,0
9302,"Up Close & Personal",tt0118055,en,3/1/1996,0,5.9,"Up Close & Personal",51045801,60000000,Drama|Romance,"Joe Mantegna",English,USA,1996,PG-13,6.1,829
9737,"Bad Boys",tt0112442,en,4/7/1995,141407024,6.5,"Bad Boys",65807024,19000000,Action|Comedy|Crime|Drama|Thriller,"Will Smith",English,USA,1995,R,6.8,0
