,id,title,imdb_id,original_language,release_date,revenue,vote_average
4,11862,Father of the Bride Part II,tt0113041,en,2/10/1995,76578911.0,5.7
17,5,Four Rooms,tt0113101,en,12/9/1995,4300000.0,6.5
27,17015,Persuasion,tt0114117,en,9/27/1995,0.0,7.4
30,9909,Dangerous Minds,tt0112792,en,8/11/1995,180000000.0,6.4
33,9598,Babe,tt0112431,en,7/18/1995,254134910.0,6.0
38,9603,Clueless,tt0112697,en,7/19/1995,0.0,6.9
43,9312,Mortal Kombat,tt0113855,en,8/18/1995,122195920.0,5.4
44,577,To Die For,tt0114681,en,5/20/1995,21284514.0,6.7
46,807,Se7en,tt0114369,en,9/22/1995,327311859.0,8.1
47,10530,Pocahontas,tt0114148,en,6/14/1995,346079773.0,6.7
48,8391,When Night Is Falling,tt0114916,en,5/5/1995,0.0,5.9
49,629,The Usual Suspects,tt0114814,en,7/19/1995,23341568.0,8.1
51,11448,Mighty Aphrodite,tt0113819,en,9/13/1995,6700000.0,6.7
53,26441,The Big Green,tt0112499,en,9/29/1995,0.0,5.2
54,97406,Georgia,tt0113158,en,5/19/1995,0.0,6.1
55,124057,Kids of the Round Table,tt0113541,en,7/8/1997,0.0,3.0
59,11359,The Indian in the Cupboard,tt0113419,en,7/14/1995,0.0,5.9
68,10634,Friday,tt0113118,en,4/26/1995,28215918.0,7.0
75,9102,Screamers,tt0114367,en,9/8/1995,5781885.0,6.1
76,124626,Nico Icon,tt0113973,en,2/18/1995,0.0,7.3
78,9623,The Juror,tt0116731,en,2/2/1996,0.0,5.5
84,8447,Angels and Insects,tt0112365,en,9/10/1995,0.0,6.3
85,10534,White Squall,tt0118158,en,2/2/1996,10300000.0,6.3
87,13997,Black Sheep,tt0115697,en,2/1/1996,32.0,6.0
89,61548,The Journey of August King,tt0113490,en,9/14/1995,0.0,6.7
90,9095,Mary Reilly,tt0117002,en,2/23/1996,12379402.0,5.7
92,9283,Beautiful Girls,tt0115639,en,2/9/1996,0.0,6.6
93,9208,Broken Arrow,tt0115759,en,2/9/1996,150270147.0,5.7
96,45549,Shopping,tt0111173,en,12/6/1994,0.0,5.6
98,11062,City Hall,tt0115907,en,2/16/1996,0.0,6.0
99,13685,Bottle Rocket,tt0115734,en,2/21/1996,560069.0,6.8
100,47475,Mr. Wrong,tt0117102,en,2/16/1996,0.0,3.3
101,2045,Unforgettable,tt0118040,en,2/23/1996,0.0,5.3
102,9614,Happy Gilmore,tt0116483,en,2/16/1996,41205099.0,6.5
103,688,The Bridges of Madison County,tt0112579,en,5/28/1995,182016617.0,7.3
105,10874,Muppet Treasure Island,tt0117110,en,2/16/1996,34327391.0,6.5
106,89333,Catwalk,tt0112646,en,12/8/1995,0.0,7.0
107,96357,Headless Body in Topless Bar,tt0113276,en,5/20/1995,0.0,0.0
108,197,Braveheart,tt0112573,en,5/24/1995,210000000.0,7.7
109,103,Taxi Driver,tt0075314,en,2/7/1976,28262574.0,8.1
111,43566,Before and After,tt0115645,en,2/23/1996,0.0,5.8
112,71754,Margaret's Museum,tt0113774,en,9/13/1995,0.0,7.5
114,51352,Anne Frank Remembered,tt0112373,en,6/8/1995,1.0,7.3
